,country,lat,long,date,value_confirmed,iso_code,region_code,subregion_code,int_region-code,value_deaths,value_recovered
0,Greece,39.0742,21.8243,2020-01-22,0,GRC,150.0,39.0,,0,0
1,Cyprus,35.1264,33.4299,2020-01-22,0,CYP,142.0,145.0,,0,0
2,Cuba,21.521757,-77.78116700000002,2020-01-22,0,CUB,19.0,419.0,29.0,0,0
3,Croatia,45.1,15.2,2020-01-22,0,HRV,150.0,39.0,,0,0
4,Cote d'Ivoire,7.54,-5.5471,2020-01-22,0,CIV,2.0,202.0,11.0,0,0
5,Costa Rica,9.7489,-83.7534,2020-01-22,0,CRI,19.0,419.0,13.0,0,0
6,Congo (Kinshasa),-4.0383,21.7587,2020-01-22,0,COD,2.0,202.0,17.0,0,0
7,Congo (Brazzaville),-0.228,15.8277,2020-01-22,0,COG,2.0,202.0,17.0,0,0
8,Comoros,-11.6455,43.3333,2020-01-22,0,COM,2.0,202.0,14.0,0,0
9,Colombia,4.5709,-74.2973,2020-01-22,0,COL,19.0,419.0,5.0,0,0
10,China,29.1832,120.0934,2020-01-22,10,CHN,142.0,30.0,,0,0
11,China,41.1129,85.2401,2020-01-22,0,CHN,142.0,30.0,,0,0
12,China,31.6927,88.0924,2020-01-22,0,CHN,142.0,30.0,,0,0
13,China,39.3054,117.323,2020-01-22,4,CHN,142.0,30.0,,0,0
14,China,30.6171,102.7103,2020-01-22,5,CHN,142.0,30.0,,0,0
15,China,37.5777,112.2922,2020-01-22,1,CHN,142.0,30.0,,0,0
16,China,36.3427,118.1498,2020-01-22,2,CHN,142.0,30.0,,0,0
17,China,35.1917,108.8701,2020-01-22,0,CHN,142.0,30.0,,0,0
18,China,35.7452,95.9956,2020-01-22,0,CHN,142.0,30.0,,0,0
19,China,37.2692,106.1655,2020-01-22,1,CHN,142.0,30.0,,0,0
20,China,22.1667,113.55,2020-01-22,1,MAC,142.0,30.0,,0,0
21,China,41.2956,122.6085,2020-01-22,2,CHN,142.0,30.0,,0,0
22,China,43.6661,126.1923,2020-01-22,0,CHN,142.0,30.0,,0,0
23,China,27.614,115.7221,2020-01-22,2,CHN,142.0,30.0,,0,0
24,China,32.9711,119.455,2020-01-22,1,CHN,142.0,30.0,,0,0
25,China,44.0935,113.9448,2020-01-22,0,CHN,142.0,30.0,,0,0
26,China,27.6104,111.7088,2020-01-22,4,CHN,142.0,30.0,,0,0
27,China,30.9756,112.2707,2020-01-22,444,CHN,142.0,30.0,,17,28
28,China,22.3,114.2,2020-01-22,0,HKG,142.0,30.0,,0,0
29,Denmark,56.2639,9.5018,2020-01-22,0,DNK,150.0,154.0,,0,0
30,Denmark,71.7069,-42.6043,2020-01-22,0,GRL,19.0,21.0,,0,0
31,Georgia,42.3154,43.3569,2020-01-22,0,GEO,142.0,145.0,,0,0
32,Gambia,13.4432,-15.3101,2020-01-22,0,GMB,2.0,202.0,11.0,0,0
33,Gabon,-0.8037,11.6094,2020-01-22,0,GAB,2.0,202.0,17.0,0,0
34,France,18.0708,-63.0501,2020-01-22,0,MAF,19.0,419.0,29.0,0,0
35,France,46.8852,-56.3159,2020-01-22,0,SPM,19.0,21.0,,0,0
36,France,17.9,-62.8333,2020-01-22,0,BLM,19.0,419.0,29.0,0,0
37,France,-21.1151,55.5364,2020-01-22,0,REU,2.0,202.0,14.0,0,0
38,France,-12.8275,45.166244,2020-01-22,0,MYT,2.0,202.0,14.0,0,0
39,France,14.6415,-61.0242,2020-01-22,0,MTQ,19.0,419.0,29.0,0,0
40,France,16.265,-61.551,2020-01-22,0,GLP,19.0,419.0,29.0,0,0
41,France,-17.6797,149.4068,2020-01-22,0,PYF,9.0,61.0,,0,0
42,France,3.9339,-53.1258,2020-01-22,0,GUF,19.0,419.0,5.0,0,0
43,France,46.2276,2.2137,2020-01-22,0,FRA,150.0,155.0,,0,0
44,Finland,61.92411,25.748151,2020-01-22,0,FIN,150.0,154.0,,0,0
45,Fiji,-17.7134,178.065,2020-01-22,0,FJI,9.0,54.0,,0,0
46,Ethiopia,9.145,40.4897,2020-01-22,0,ETH,2.0,202.0,14.0,0,0
47,Eswatini,-26.5225,31.4659,2020-01-22,0,SWZ,2.0,202.0,18.0,0,0
48,Estonia,58.5953,25.0136,2020-01-22,0,EST,150.0,154.0,,0,0
49,Eritrea,15.1794,39.7823,2020-01-22,0,ERI,2.0,202.0,14.0,0,0
50,Equatorial Guinea,1.6508,10.2679,2020-01-22,0,GNQ,2.0,202.0,17.0,0,0
51,El Salvador,13.7942,-88.8965,2020-01-22,0,SLV,19.0,419.0,13.0,0,0
52,Ecuador,-1.8312,-78.1834,2020-01-22,0,ECU,19.0,419.0,5.0,0,0
53,Dominican Republic,18.7357,-70.1627,2020-01-22,0,DOM,19.0,419.0,29.0,0,0
54,Dominica,15.415,-61.371,2020-01-22,0,DMA,19.0,419.0,29.0,0,0
55,Djibouti,11.8251,42.5903,2020-01-22,0,DJI,2.0,202.0,14.0,0,0
56,Diamond Princess,0.0,0.0,2020-01-22,0,,,,,0,0
57,Denmark,61.8926,-6.9118,2020-01-22,0,FRO,150.0,154.0,,0,0
58,Ghana,7.9465,-1.0232,2020-01-22,0,GHA,2.0,202.0,11.0,0,0
59,China,37.8957,114.9042,2020-01-22,5,CHN,142.0,30.0,,0,0
60,Brunei,4.5353,114.7277,2020-01-22,0,BRN,142.0,35.0,,0,0
61,Brazil,-14.235,-51.9253,2020-01-22,0,BRA,19.0,419.0,5.0,0,0
62,Botswana,-22.3285,24.6849,2020-01-22,0,BWA,2.0,202.0,18.0,0,0
63,Bosnia and Herzegovina,43.9159,17.6791,2020-01-22,0,BIH,150.0,39.0,,0,0
64,Bolivia,-16.2902,-63.5887,2020-01-22,0,BOL,19.0,419.0,5.0,0,0
65,Bhutan,27.5142,90.4336,2020-01-22,0,BTN,142.0,34.0,,0,0
66,Benin,9.3077,2.3158,2020-01-22,0,BEN,2.0,202.0,11.0,0,0
67,Belize,17.1899,-88.4976,2020-01-22,0,BLZ,19.0,419.0,13.0,0,0
68,Belgium,50.8333,4.469936,2020-01-22,0,BEL,150.0,155.0,,0,0
69,Belarus,53.7098,27.9534,2020-01-22,0,BLR,150.0,151.0,,0,0
70,Barbados,13.1939,-59.5432,2020-01-22,0,BRB,19.0,419.0,29.0,0,0
71,Bangladesh,23.685,90.3563,2020-01-22,0,BGD,142.0,34.0,,0,0
72,Bahrain,26.0275,50.55,2020-01-22,0,BHR,142.0,145.0,,0,0
73,Bahamas,25.025885,-78.035889,2020-01-22,0,BHS,19.0,419.0,29.0,0,0
74,Azerbaijan,40.1431,47.5769,2020-01-22,0,AZE,142.0,145.0,,0,0
75,Austria,47.5162,14.5501,2020-01-22,0,AUT,150.0,155.0,,0,0
76,Australia,-31.9505,115.8605,2020-01-22,0,AUS,9.0,53.0,,0,0
77,Australia,-37.8136,144.9631,2020-01-22,0,AUS,9.0,53.0,,0,0
78,Australia,-42.8821,147.3272,2020-01-22,0,AUS,9.0,53.0,,0,0
79,Australia,-34.9285,138.6007,2020-01-22,0,AUS,9.0,53.0,,0,0
80,Australia,-27.4698,153.0251,2020-01-22,0,AUS,9.0,53.0,,0,0
81,Australia,-12.4634,130.8456,2020-01-22,0,AUS,9.0,53.0,,0,0
82,Australia,-33.8688,151.2093,2020-01-22,0,AUS,9.0,53.0,,0,0
83,Australia,-35.4735,149.0124,2020-01-22,0,AUS,9.0,53.0,,0,0
84,Armenia,40.0691,45.0382,2020-01-22,0,ARM,142.0,145.0,,0,0
85,Argentina,-38.4161,-63.6167,2020-01-22,0,ARG,19.0,419.0,5.0,0,0
86,Antigua and Barbuda,17.0608,-61.7964,2020-01-22,0,ATG,19.0,419.0,29.0,0,0
87,Angola,-11.2027,17.8739,2020-01-22,0,AGO,2.0,202.0,17.0,0,0
88,Andorra,42.5063,1.5218,2020-01-22,0,AND,150.0,39.0,,0,0
89,Bulgaria,42.7339,25.4858,2020-01-22,0,BGR,150.0,151.0,,0,0
90,Burkina Faso,12.2383,-1.5616,2020-01-22,0,BFA,2.0,202.0,11.0,0,0
91,Burundi,-3.3731,29.9189,2020-01-22,0,BDI,2.0,202.0,14.0,0,0
92,China,19.1959,109.7453,2020-01-22,4,CHN,142.0,30.0,,0,0
93,China,26.8154,106.8748,2020-01-22,1,CHN,142.0,30.0,,0,0
94,China,23.8298,108.7881,2020-01-22,2,CHN,142.0,30.0,,0,0
95,China,23.3417,113.4244,2020-01-22,26,CHN,142.0,30.0,,0,0
96,China,35.7518,104.2861,2020-01-22,0,CHN,142.0,30.0,,0,0
97,China,26.0789,117.9874,2020-01-22,1,CHN,142.0,30.0,,0,0
98,China,30.0572,107.874,2020-01-22,6,CHN,142.0,30.0,,0,0
99,China,40.1824,116.4142,2020-01-22,14,CHN,142.0,30.0,,0,0
100,China,31.8257,117.2264,2020-01-22,1,CHN,142.0,30.0,,0,0
101,Chile,-35.6751,-71.543,2020-01-22,0,CHL,19.0,419.0,5.0,0,0
102,Chad,15.4542,18.7322,2020-01-22,0,TCD,2.0,202.0,17.0,0,0
103,Central African Republic,6.6111,20.9394,2020-01-22,0,CAF,2.0,202.0,17.0,0,0
104,Cambodia,11.55,104.9167,2020-01-22,0,KHM,142.0,35.0,,0,0
105,Cabo Verde,16.5388,-23.0418,2020-01-22,0,CPV,2.0,202.0,11.0,0,0
106,Burma,21.9162,95.956,2020-01-22,0,MMR,142.0,35.0,,0,0
107,Guatemala,15.7835,-90.2308,2020-01-22,0,GTM,19.0,419.0,13.0,0,0
